problem	type	status	time	obj
2022/accap	MIN	SOL	64.41	2575
2022/arithmetic-target	MIN	SOL	62.41	585
2022/blocks-world	MIN	TIMEOUT	60.83	None
2022/diameterc-mst	MIN	SOL	64.21	959
2022/generalized-peacable-queens	MAX	SOL	60.47	2
2022/gfd-schedule	MIN	SOL	64.74	10519
2022/ma-path-finding	MIN	TIMEOUT	105.3	None
2022/nfc	MIN	OPTIMAL	0.23	2410
2022/roster-sickness	MAX	OPTIMAL	23.08	191062
2022/rotating-workforce-scheduling	SAT	SOL	14.96	None
2022/spot5	MIN	SOL	63.77	635628
2022/stripboard	MIN	TIMEOUT	60.51	None
2022/sudoku_opt	MIN	OPTIMAL	0.55	-55
2022/team-assignment	MAX	SOL	64.26	8246
2022/tower	MAX	SOL	65.2	20
2022/traveling-tppv	MIN	SOL	62.51	1454
2022/triangular	MAX	SOL	60.3	20
2022/vaccine	MAX	SOL	60.54	96
2022/wordpress	MIN	SOL	64.16	37933
2022/yumi-static	MIN	SOL	60.83	720
2023/chessboard	MAX	SOL	62.64	331
2023/code-generator	MIN	TIMEOUT	105.08	None
2023/elitserien	MIN	OPTIMAL	6.43	2
2023/evm-super-compilation	MIN	TIMEOUT	61.15	None
2023/gametes	MIN	TIMEOUT	61.32	None
2023/kidney-exchange	MAX	OPTIMAL	1.27	1152
2023/mrcpsp	MIN	OPTIMAL	0.39	27
2023/multi-agent-graph-coverage	MIN	TIMEOUT	61.02	None
2023/pennies-opt	MAX	SOL	60.61	10
2023/roster	MIN	OPTIMAL	21.9	19
2023/roster-shifts-bool	MAX	OPTIMAL	1.39	5190
2023/speck-optimisation	MIN	TIMEOUT	61.57	None
2023/sudoku_fixed	SAT	SOL	0.55	None
2023/table-layout	MIN	UNSAT	63.83	None
2023/test-scheduling	MIN	TIMEOUT	61.3	None
2023/travelling-thief	MAX	UNKNOWN	0.29	None
2023/unit-commitment	MIN	SOL	66.05	2145069175
2023/valve-network	MAX	SOL	62.75	271
2023/vrplc	MIN	SOL	60.32	673
2023/yumi-static	MIN	SOL	60.75	722
2024/accap	MIN	SOL	64.22	805
2024/aircraft-disassembly	MIN	UNSAT	11.8	None
2024/cable-tree-wiring	MIN	SOL	60.9	19109540
2024/community-detection	MAX	OPTIMAL	13.11	80137090
2024/compression	MIN	SOL	60.52	370
2024/concert-hall-cap	MAX	SOL	64.37	1652327
2024/fox-geese-corn	MAX	SOL	62.26	222
2024/graph-clear	MIN	SOL	63.53	73
2024/harmony	MIN	SOL	64.48	70
2024/hoist-benchmark	MIN	TIMEOUT	60.49	None
2024/monitor-placement-1id	MIN	TIMEOUT	105.15	None
2024/neighbours	MAX	SOL	63.56	2573
2024/network_50_cstr	MIN	OPTIMAL	23.62	2
2024/peacable_queens	MAX	SOL	62.49	11
2024/portal	MIN	TIMEOUT	61.75	None
2024/tiny-cvrp	MIN	SOL	65.44	14067
2024/train-scheduling	MIN	OPTIMAL	0.95	10
2024/triangular	MAX	SOL	60.31	22
2024/word-equations	MAX	UNSAT	0.36	None
2024/yumi-dynamic	MIN	TIMEOUT	76.33	None
2025/atsp	MIN	SOL	62.54	11618907
2025/black-hole	SAT	TIMEOUT	60.3	None
2025/carpet-cutting	MIN	SOL	60.57	1890
2025/cgt	MIN	SOL	64.49	16391
2025/EchoSched	MIN	SOL	60.4	15144
2025/fbd1	MIN	OPTIMAL	0.4	46
2025/groupsplitter	MAX	SOL	66.42	115
2025/gt-sort	MIN	SOL	64.31	220
2025/hitori	MAX	TIMEOUT	60.87	None
2025/ihtc-2024-kletzander	MIN	SOL	65.4	36575
2025/ihtc-2024-marte	MIN	TIMEOUT	64.05	None
2025/is	MIN	OPTIMAL	0.69	71168
2025/mondoku	MIN	OPTIMAL	3.16	1
2025/products-and-shelves	MIN	TIMEOUT	69.53	None
2025/proteindesign12	MIN	SOL	68.26	3803
2025/skill-allocation	MIN	TIMEOUT	68.61	None
2025/stripboard	MIN	OPTIMAL	28.56	63
2025/tower	MAX	SOL	65.61	20
2025/tsptw	MIN	TIMEOUT	60.41	None
2025/work-task-variation	MIN	SOL	63.71	11506
