problem	type	base_st	base_t	base_obj	lcg_st	lcg_t	lcg_obj
2022/accap	MIN	SOL	60.71	103	SOL	53.62	103
2022/arithmetic-target	MIN	SOL	63.46	18	OPTIMAL	65.04	5
2022/blocks-world	MIN	TIMEOUT	60.74	None	TIMEOUT	60.75	None
2022/diameterc-mst	MIN	SOL	64.79	318	SOL	64.34	314
2022/generalized-peacable-queens	MAX	SOL	60.42	4	SOL	60.4	4
2022/gfd-schedule	MIN	SOL	62.37	534	OPTIMAL	10.2	9
2022/ma-path-finding	MIN	SOL	75.08	315	SOL	75.09	268
2022/nfc	MIN	OPTIMAL	2.21	784	OPTIMAL	9.2	784
2022/roster-sickness	MAX	OPTIMAL	24.56	191062	OPTIMAL	25.65	191062
2022/rotating-workforce-scheduling	SAT	SOL	16.38	None	SOL	9.99	None
2022/spot5	MIN	SOL	60.79	114	SOL	53.07	114
2022/stripboard	MIN	SOL	60.49	190	SOL	61.0	180
2022/sudoku_opt	MIN	OPTIMAL	44.14	-3	OPTIMAL	29.35	-3
2022/team-assignment	MAX	OPTIMAL	1.74	2948	OPTIMAL	2.51	2948
2022/tower	MAX	SOL	60.68	90	SOL	60.65	90
2022/traveling-tppv	MIN	SOL	66.03	498	SOL	61.5	508
2022/triangular	MAX	SOL	60.87	20	SOL	60.39	19
2022/vaccine	MAX	SOL	62.84	44	SOL	62.87	44
2022/wordpress	MIN	SOL	60.26	2126	SOL	60.37	2160
2022/yumi-static	MIN	SOL	66.36	689	SOL	57.85	787
2023/chessboard	MAX	SOL	60.43	48	SOL	60.5	48
2023/code-generator	MIN	SOL	66.38	9813	OPTIMAL	21.35	6340
2023/elitserien	MIN	OPTIMAL	13.5	2	OPTIMAL	22.52	2
2023/evm-super-compilation	MIN	TIMEOUT	60.89	None	TIMEOUT	61.0	None
2023/gametes	MIN	OPTIMAL	1.14	3	OPTIMAL	1.64	3
2023/kidney-exchange	MAX	OPTIMAL	0.45	815	OPTIMAL	0.41	815
2023/mrcpsp	MIN	OPTIMAL	0.38	27	OPTIMAL	0.38	27
2023/multi-agent-graph-coverage	MIN	SOL	56.03	269	SOL	63.88	253
2023/pennies-opt	MAX	OPTIMAL	0.49	5	OPTIMAL	0.51	5
2023/roster	MIN	OPTIMAL	0.37	7	OPTIMAL	0.37	7
2023/roster-shifts-bool	MAX	SOL	75.15	21525	SOL	75.13	20608
2023/speck-optimisation	MIN	OPTIMAL	0.35	1	OPTIMAL	0.35	1
2023/sudoku_fixed	SAT	SOL	10.34	None	SOL	16.75	None
2023/table-layout	MIN	OPTIMAL	2.39	8137	OPTIMAL	2.35	8137
2023/test-scheduling	MIN	OPTIMAL	0.64	1069	OPTIMAL	0.59	1069
2023/travelling-thief	MAX	UNKNOWN	0.28	None	UNKNOWN	0.29	None
2023/unit-commitment	MIN	OPTIMAL	0.29	75950	OPTIMAL	0.33	75950
2023/valve-network	MAX	SOL	64.58	33	SOL	61.88	34
2023/vrplc	MIN	SOL	55.52	329	SOL	61.32	329
2023/yumi-static	MIN	SOL	65.16	493	SOL	63.64	555
2024/accap	MIN	SOL	60.3	105	SOL	60.44	105
2024/aircraft-disassembly	MIN	SOL	61.14	3297500	SOL	52.94	3297500
2024/cable-tree-wiring	MIN	SOL	63.79	8286663	SOL	65.96	7755143
2024/community-detection	MAX	OPTIMAL	6.5	-892763	OPTIMAL	15.04	-892763
2024/compression	MIN	OPTIMAL	0.44	25	OPTIMAL	0.28	25
2024/concert-hall-cap	MAX	SOL	60.36	36778	SOL	60.43	36778
2024/fox-geese-corn	MAX	SOL	61.4	28	SOL	61.28	34
2024/graph-clear	MIN	SOL	62.34	65	SOL	61.69	62
2024/harmony	MIN	SOL	64.71	44	SOL	63.19	46
2024/hoist-benchmark	MIN	SOL	70.32	470	SOL	61.0	470
2024/monitor-placement-1id	MIN	TIMEOUT	75.24	None	TIMEOUT	75.12	None
2024/neighbours	MAX	OPTIMAL	0.49	17	OPTIMAL	0.22	17
2024/network_50_cstr	MIN	TIMEOUT	75.22	None	TIMEOUT	75.11	None
2024/peacable_queens	MAX	OPTIMAL	8.5	7	OPTIMAL	8.46	7
2024/portal	MIN	TIMEOUT	60.43	None	TIMEOUT	60.54	None
2024/tiny-cvrp	MIN	OPTIMAL	2.82	454	OPTIMAL	5.2	454
2024/train-scheduling	MIN	SOL	60.47	311	SOL	60.46	315
2024/triangular	MAX	OPTIMAL	17.07	17	OPTIMAL	23.65	17
2024/word-equations	MAX	UNSAT	0.37	None	UNSAT	0.38	None
2024/yumi-dynamic	MIN	SOL	66.82	711	SOL	67.88	720
2025/atsp	MIN	OPTIMAL	0.3	657504	OPTIMAL	0.28	657504
2025/black-hole	SAT	SOL	0.33	None	SOL	0.53	None
2025/carpet-cutting	MIN	OPTIMAL	0.38	570	OPTIMAL	0.38	570
2025/cgt	MIN	SOL	56.47	4494	SOL	66.14	648
2025/EchoSched	MIN	OPTIMAL	2.25	12135	OPTIMAL	2.8	12135
2025/fbd1	MIN	OPTIMAL	0.39	46	OPTIMAL	0.39	46
2025/groupsplitter	MAX	TIMEOUT	62.21	None	TIMEOUT	62.21	None
2025/gt-sort	MIN	TIMEOUT	75.16	None	TIMEOUT	75.19	None
2025/hitori	MAX	OPTIMAL	11.29	17	OPTIMAL	10.84	17
2025/ihtc-2024-kletzander	MIN	SOL	62.61	575	SOL	61.68	605
2025/ihtc-2024-marte	MIN	SOL	69.9	7711	SOL	62.68	8770
2025/is	MIN	OPTIMAL	0.4	376832	OPTIMAL	0.4	376832
2025/mondoku	MIN	OPTIMAL	1.04	0	OPTIMAL	1.33	0
2025/products-and-shelves	MIN	SOL	61.92	5	SOL	62.12	5
2025/proteindesign12	MIN	SOL	65.22	1475	SOL	65.71	1474
2025/skill-allocation	MIN	OPTIMAL	62.5	2	SOL	71.33	2
2025/stripboard	MIN	OPTIMAL	1.62	45	OPTIMAL	1.12	45
2025/tower	MAX	OPTIMAL	2.81	45	OPTIMAL	2.56	45
2025/tsptw	MIN	OPTIMAL	52.47	275	OPTIMAL	37.01	275
2025/work-task-variation	MIN	SOL	53.51	1791	SOL	63.91	1438
